fixture_id,fixture_display,kickoff_local,app,market_original,market_id,selection_original,selection_id,line,odds,promo,source_image,capture_time,notes
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate +3,draw,+3,6.20,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Brasil -3,away,-3,8.00,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Escocia +4,home,+4,1.09,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate +4,draw,+4,10.00,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Hándicap Resultado del Partido,result_handicap,Brasil -4,away,-4,16.00,false,IMG_7564.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Resultado del partido,match_result,1,home,,1.21,false,IMG_7565.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Resultado del partido,match_result,X,draw,,6.30,false,IMG_7565.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Resultado del partido,match_result,2,away,,15.50,false,IMG_7565.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Doble oportunidad,double_chance,Marruecos o Empate,home_draw,,1.04,false,IMG_7565.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Doble oportunidad,double_chance,Marruecos o Haití,home_away,,1.11,false,IMG_7565.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Doble oportunidad,double_chance,Haití o Empate,draw_away,,4.90,false,IMG_7565.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 3.5,over,3.5,2.37,false,IMG_7565.PNG,2026-06-21 22:23 -05:00,corroborated in IMG_7566.PNG
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 3.5,under,3.5,1.60,false,IMG_7565.PNG,2026-06-21 22:23 -05:00,corroborated in IMG_7566.PNG
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 2.5,over,2.5,1.57,false,IMG_7565.PNG,2026-06-21 22:23 -05:00,corroborated in IMG_7566.PNG
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 2.5,under,2.5,2.45,false,IMG_7565.PNG,2026-06-21 22:23 -05:00,corroborated in IMG_7566.PNG
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 4.5,over,4.5,4.00,false,IMG_7566.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 4.5,under,4.5,1.25,false,IMG_7566.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 0.5,over,0.5,1.04,false,IMG_7566.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 0.5,under,0.5,11.75,false,IMG_7566.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 1.5,over,1.5,1.18,false,IMG_7566.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 1.5,under,1.5,4.85,false,IMG_7566.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 5.5,over,5.5,7.10,false,IMG_7566.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Menos 5.5,under,5.5,1.10,false,IMG_7566.PNG,2026-06-21 22:23 -05:00,
2026-06-24-mar-hai,Marruecos vs Haití,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 6.5,over,6.5,11.75,false,IMG_7566.PNG,2026-06-21 22:23 -05:00,
