source_image,source_sha256,fixture_id,app,transcribed_selection_rows,inventory_status
IMG_7649.PNG,a3d7b279a63e1e60260ca686bd09e98788eadda68a83c185e7170cbc0167c026,2026-06-23-col-cod,Betano,0,reviewed_no_supported_row
IMG_7650.PNG,f3b157ebfcb28ef659b3d438417413bc2ad7970b8e39f9da8393172e2e0dc8f0,2026-06-23-col-cod,Betano,0,reviewed_no_supported_row
IMG_7651.PNG,9645b62bdc550c440b7fb066f75dee275b4370e0d3e460731ce9bc07ccff94c2,2026-06-23-col-cod,Betano,0,reviewed_no_supported_row
IMG_7652.PNG,038925743c0b66c80ae5e69876d6c6bd41c2493c34ff13f0eebf8f83637de9d2,2026-06-23-col-cod,Betano,0,reviewed_no_supported_row
IMG_7653.PNG,f3f90f9b4b5526f96b32b510fa19d48d13b7fe705deb6818be1fb59c95cab15e,2026-06-24-sui-can,Betano,6,odds_transcribed
IMG_7654.PNG,da9b767c71d3bb02c94bd15fae8c6b1ab5130500cfaff64569cb82a6ade99380,2026-06-24-sui-can,Betano,15,odds_transcribed
IMG_7655.PNG,360be4376cb7f75f4b43066b38480832d0ea1bad18aca3e0c043638e960e3e94,2026-06-24-sui-can,Betano,5,odds_transcribed
IMG_7656.PNG,2546363de2643696f6d8d32aaf4012521df7dc7ede934025341899eace186a26,2026-06-24-sui-can,Betano,18,odds_transcribed
IMG_7657.PNG,714ec4965d52db7fe892b63ca5b317577903da7deeeb916645617abcd44ad080,2026-06-24-bih-qat,Betano,6,odds_transcribed
IMG_7658.PNG,23cd3053288a0d61b36931451b9f0d7269dcdaddc9eb1df36538b3bd6ab30468,2026-06-24-bih-qat,Betano,15,odds_transcribed
IMG_7659.PNG,b3e42329bd4d0d78d80fe8777c26d98314fa9a42fa222b998dfc9946281d7043,2026-06-24-bih-qat,Betano,5,odds_transcribed
IMG_7660.PNG,0fcc58e07c01ad60f0b57bff9291909255d2d585dd5db7437601b9b8c1401fd5,2026-06-24-bih-qat,Betano,18,odds_transcribed
IMG_7661.PNG,299a67ee24dd0212a79b5bb7848ceb2fce629a5defc43ad192174eb754306dac,2026-06-24-sco-bra,Betano,8,odds_transcribed
IMG_7662.PNG,8f5a96b72dc700b0f62faa4705202321ab4926770397d57cb788a2a9985016c5,2026-06-24-sco-bra,Betano,10,odds_transcribed
IMG_7663.PNG,c012bebd3b28e97820114b7d17bb776cf2aba11bd0a7731039eb5304da4f47b8,2026-06-24-sco-bra,Betano,5,odds_transcribed
IMG_7664.PNG,c9eee07749b25671c0e70bbf8108cd6139451713a3d96dddf2713790f7f3cc68,2026-06-24-sco-bra,Betano,18,odds_transcribed
IMG_7665.PNG,d5838dac258224c999a038f520817735e3d8966a317481cca004be70cb730672,2026-06-24-mar-hai,Betano,8,odds_transcribed
IMG_7666.PNG,c9e28057cd8f496befb377fb969ca6ad20f8d3646ba5b31a2b06df25a6bbc895,2026-06-24-mar-hai,Betano,10,odds_transcribed
IMG_7667.PNG,b34fad5bf9e8f8ca172631c939630e7aab21452eac1573675736c718a8c7e6d1,2026-06-24-mar-hai,Betano,4,odds_transcribed
IMG_7668.PNG,f2a1cac3500bee620deac11702e3fac1f10967b3ceec2dfa155b6dec107c29ed,2026-06-24-mar-hai,Betano,22,odds_transcribed
IMG_7669.PNG,bad31435fe3d6595979a36bc2e17886db7757b1a39350ebb7afc351e70d54d48,2026-06-24-rsa-kor,Betano,6,odds_transcribed
IMG_7670.PNG,b2ca51dfbc90a15a10a0b862d476b71d3021bebbe25a4dbbcec9dc962d6564bb,2026-06-24-rsa-kor,Betano,15,odds_transcribed
